temperature,humidity,number of people,result
-30,0,60.16,комфортная холодная
-30,5,60.16,комфортная холодная
-30,10,60.16,комфортная холодная
-30,15,60.16,комфортная холодная
-30,20,55.39,комфортная холодная
-30,25,52.05,ощутимо холодная
-30,30,54.04,ощутимо холодная
-30,35,54.81,ощутимо холодная
-30,40,54.81,ощутимо холодная
-30,45,54.81,ощутимо холодная
-30,50,54.81,ощутимо холодная
-30,55,53.88,ощутимо холодная
-30,60,52.94,ощутимо холодная
-30,65,51.97,ощутимо холодная
-30,70,56.9,морозная
-30,75,61.57,морозная
-30,80,64.36,морозная
-30,85,64.36,морозная
-30,90,64.36,морозная
-30,95,64.36,морозная
-30,100,64.36,морозная
-29,0,60.16,комфортная холодная
-29,5,60.16,комфортная холодная
-29,10,60.16,комфортная холодная
-29,15,60.16,комфортная холодная
-29,20,55.39,комфортная холодная
-29,25,52.05,ощутимо холодная
-29,30,54.04,ощутимо холодная
-29,35,54.81,ощутимо холодная
-29,40,54.81,ощутимо холодная
-29,45,54.81,ощутимо холодная
-29,50,54.81,ощутимо холодная
-29,55,53.88,ощутимо холодная
-29,60,52.94,ощутимо холодная
-29,65,51.97,ощутимо холодная
-29,70,56.9,морозная
-29,75,61.57,морозная
-29,80,64.36,морозная
-29,85,64.36,морозная
-29,90,64.36,морозная
-29,95,64.36,морозная
-29,100,64.36,морозная
-28,0,60.16,комфортная холодная
-28,5,60.16,комфортная холодная
-28,10,60.16,комфортная холодная
-28,15,60.16,комфортная холодная
-28,20,55.39,комфортная холодная
-28,25,52.05,ощутимо холодная
-28,30,54.04,ощутимо холодная
-28,35,54.81,ощутимо холодная
-28,40,54.81,ощутимо холодная
-28,45,54.81,ощутимо холодная
-28,50,54.81,ощутимо холодная
-28,55,53.88,ощутимо холодная
-28,60,52.94,ощутимо холодная
-28,65,51.97,ощутимо холодная
-28,70,56.9,морозная
-28,75,61.57,морозная
-28,80,64.36,морозная
-28,85,64.36,морозная
-28,90,64.36,морозная
-28,95,64.36,морозная
-28,100,64.36,морозная
-27,0,60.16,комфортная холодная
-27,5,60.16,комфортная холодная
-27,10,60.16,комфортная холодная
-27,15,60.16,комфортная холодная
-27,20,55.39,комфортная холодная
-27,25,52.05,ощутимо холодная
-27,30,54.04,ощутимо холодная
-27,35,54.81,ощутимо холодная
-27,40,54.81,ощутимо холодная
-27,45,54.81,ощутимо холодная
-27,50,54.81,ощутимо холодная
-27,55,53.88,ощутимо холодная
-27,60,52.94,ощутимо холодная
-27,65,51.97,ощутимо холодная
-27,70,56.9,морозная
-27,75,61.57,морозная
-27,80,64.36,морозная
-27,85,64.36,морозная
-27,90,64.36,морозная
-27,95,64.36,морозная
-27,100,64.36,морозная
-26,0,60.16,комфортная холодная
-26,5,60.16,комфортная холодная
-26,10,60.16,комфортная холодная
-26,15,60.16,комфортная холодная
-26,20,55.39,комфортная холодная
-26,25,52.05,ощутимо холодная
-26,30,54.04,ощутимо холодная
-26,35,54.81,ощутимо холодная
-26,40,54.81,ощутимо холодная
-26,45,54.81,ощутимо холодная
-26,50,54.81,ощутимо холодная
-26,55,53.88,ощутимо холодная
-26,60,52.94,ощутимо холодная
-26,65,51.97,ощутимо холодная
-26,70,56.9,морозная
-26,75,61.57,морозная
-26,80,64.36,морозная
-26,85,64.36,морозная
-26,90,64.36,морозная
-26,95,64.36,морозная
-26,100,64.36,морозная
-25,0,60.16,комфортная холодная
-25,5,60.16,комфортная холодная
-25,10,60.16,комфортная холодная
-25,15,60.16,комфортная холодная
-25,20,55.39,комфортная холодная
-25,25,52.05,ощутимо холодная
-25,30,54.04,ощутимо холодная
-25,35,54.81,ощутимо холодная
-25,40,54.81,ощутимо холодная
-25,45,54.81,ощутимо холодная
-25,50,54.81,ощутимо холодная
-25,55,53.88,ощутимо холодная
-25,60,52.94,ощутимо холодная
-25,65,51.97,ощутимо холодная
-25,70,56.9,морозная
-25,75,61.57,морозная
-25,80,64.36,морозная
-25,85,64.36,морозная
-25,90,64.36,морозная
-25,95,64.36,морозная
-25,100,64.36,морозная
-24,0,60.16,комфортная холодная
-24,5,60.16,комфортная холодная
-24,10,60.16,комфортная холодная
-24,15,60.16,комфортная холодная
-24,20,55.39,комфортная холодная
-24,25,52.05,ощутимо холодная
-24,30,54.04,ощутимо холодная
-24,35,54.81,ощутимо холодная
-24,40,54.81,ощутимо холодная
-24,45,54.81,ощутимо холодная
-24,50,54.81,ощутимо холодная
-24,55,53.88,ощутимо холодная
-24,60,52.94,ощутимо холодная
-24,65,51.97,ощутимо холодная
-24,70,56.9,морозная
-24,75,61.57,морозная
-24,80,64.36,морозная
-24,85,64.36,морозная
-24,90,64.36,морозная
-24,95,64.36,морозная
-24,100,64.36,морозная
-23,0,60.16,комфортная холодная
-23,5,60.16,комфортная холодная
-23,10,60.16,комфортная холодная
-23,15,60.16,комфортная холодная
-23,20,55.39,комфортная холодная
-23,25,52.05,ощутимо холодная
-23,30,54.04,ощутимо холодная
-23,35,54.81,ощутимо холодная
-23,40,54.81,ощутимо холодная
-23,45,54.81,ощутимо холодная
-23,50,54.81,ощутимо холодная
-23,55,53.88,ощутимо холодная
-23,60,52.94,ощутимо холодная
-23,65,51.97,ощутимо холодная
-23,70,56.9,морозная
-23,75,61.57,морозная
-23,80,64.36,морозная
-23,85,64.36,морозная
-23,90,64.36,морозная
